City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
182,Geraldton,AU,-28.7667,114.6,54.01,82,75,24.16,broken clouds
183,Staritsa,RU,56.5075,34.9354,52.52,93,86,3.04,overcast clouds
184,Port Augusta,AU,-32.5,137.7667,56.37,42,34,4.47,scattered clouds
185,Arlit,NE,18.7369,7.3853,89.35,38,100,17.85,overcast clouds
186,Lumeje,AO,-11.55,20.7833,60.53,34,1,4.54,clear sky
187,Aras,ES,42.5617,-2.356,72.01,60,59,17.27,light rain
188,Mount Isa,AU,-20.7333,139.5,65.97,24,0,11.5,clear sky
189,Galesong,ID,-5.3166,119.3661,75.22,74,92,5.12,overcast clouds
190,Charleston,US,32.7766,-79.9309,82.56,80,0,8.05,clear sky
191,Kalmunai,LK,7.4167,81.8167,77.76,66,95,5.17,overcast clouds
192,Talnakh,RU,69.4865,88.3972,63.21,91,50,5.32,scattered clouds
193,Aqtobe,KZ,50.2797,57.2072,66.29,72,75,6.71,broken clouds
194,Rawson,AR,-43.3002,-65.1023,44.85,75,93,18.66,overcast clouds
195,Walvis Bay,NA,-22.9575,14.5053,53.1,81,12,6.49,few clouds
196,Mareeba,AU,-17.0,145.4333,71.44,71,91,6.73,overcast clouds
197,Vardo,NO,70.3705,31.1107,48.18,81,100,12.66,overcast clouds
198,Guerrero Negro,MX,27.9769,-114.0611,81.93,62,14,14.97,few clouds
199,Dubrovka,RU,53.6907,33.5071,61.86,77,100,5.44,overcast clouds
200,Peniche,PT,39.3558,-9.3811,67.1,89,5,5.95,clear sky
201,Mozarlandia,BR,-14.7447,-50.5706,83.23,32,5,6.42,clear sky
202,Vanavara,RU,60.34,102.2797,56.19,82,47,3.6,scattered clouds
203,Bad Windsheim,DE,49.5,10.4167,64.33,58,3,6.04,clear sky
204,Yeppoon,AU,-23.1333,150.7333,62.38,50,0,8.1,clear sky
205,Kloulklubed,PW,7.0419,134.2556,82.71,76,100,10.07,overcast clouds
206,Hilo,US,19.7297,-155.09,89.28,83,75,5.75,broken clouds
207,Bonthe,SL,7.5264,-12.505,76.37,83,98,9.04,overcast clouds
208,Gat,IL,31.61,34.7642,77.68,64,0,2.57,clear sky
209,Mardin,TR,37.3131,40.7436,74.66,49,0,2.37,clear sky
210,Nueva Germania,PY,-23.9,-56.5667,60.22,97,99,5.32,overcast clouds
211,Cambui,BR,-22.6122,-46.0575,61.47,89,100,3.06,overcast clouds
212,Viedma,AR,-40.8135,-62.9967,45.05,71,100,8.79,overcast clouds
213,Svetlogorsk,BY,52.6333,29.7333,57.38,73,97,4.12,overcast clouds
214,Asau,RO,46.4333,26.4,67.12,88,5,3.6,light rain
215,Shima,CN,24.4478,117.8111,82.33,76,31,3.47,scattered clouds
216,Lorengau,PG,-2.0226,147.2712,82.87,77,77,10.33,broken clouds
217,Cockburn Town,TC,21.4612,-71.1419,82.36,82,47,20.33,scattered clouds
218,Carnarvon,AU,-24.8667,113.6333,64.38,52,47,17.45,scattered clouds
219,Hobyo,SO,5.3505,48.5268,75.67,82,40,22.64,scattered clouds
220,Pangnirtung,CA,66.1451,-65.7125,47.34,74,59,2.3,broken clouds
221,Hami,CN,42.8,93.45,86.09,24,0,2.06,clear sky
222,Naifaru,MV,5.4444,73.3657,80.85,81,100,16.04,overcast clouds
223,Dingle,PH,10.9995,122.6711,79.95,83,98,4.32,overcast clouds
224,Sambava,MG,-14.2667,50.1667,67.32,86,58,12.03,broken clouds
225,Matagami,CA,49.7502,-77.6328,49.78,96,100,4.61,overcast clouds
226,Boshnyakovo,RU,49.6333,142.1667,64.56,78,71,10.67,broken clouds
227,Quatre Cocos,MU,-20.2078,57.7625,69.91,74,24,15.1,light rain
228,Dedza,MW,-14.3779,34.3332,54.18,54,0,1.03,clear sky
229,Illela,NG,13.7292,5.2975,79.68,77,96,5.84,overcast clouds
230,Xapuri,BR,-10.6517,-68.5044,76.98,75,85,2.24,overcast clouds
231,Kabelvag,NO,68.2114,14.4817,57.22,84,100,18.59,light rain
232,Yantal,RU,56.8471,105.2542,52.07,87,6,1.61,clear sky
233,Andros,GR,37.8333,24.9333,79.36,63,0,11.01,clear sky
234,Chuy,UY,-33.6971,-53.4616,48.99,82,74,8.19,broken clouds
235,Kuzino,RU,57.0224,59.4412,59.92,95,41,1.34,scattered clouds
236,Mancora,PE,-4.1078,-81.0475,69.44,73,30,9.24,scattered clouds
237,Bonavista,CA,48.6499,-53.1147,57.0,81,37,13.15,scattered clouds
238,Anshun,CN,26.25,105.9333,67.8,92,48,4.32,scattered clouds
239,Botshabelo,ZA,-29.2702,26.7052,44.06,75,0,6.69,clear sky
240,Wangou,CN,42.0623,126.9127,63.82,64,74,2.08,broken clouds
241,Ribeira Grande,PT,38.5167,-28.7,74.37,77,17,11.72,few clouds
242,Frolovo,RU,49.7713,43.6622,70.97,39,3,7.87,clear sky
243,Namibe,AO,-15.1961,12.1522,62.17,89,32,2.68,scattered clouds
244,Krasnoselkup,RU,65.7,82.4667,68.74,72,86,7.99,overcast clouds
245,Hithadhoo,MV,-0.6,73.0833,81.36,66,100,2.46,overcast clouds
246,Nuuk,GL,64.1835,-51.7216,40.87,93,95,5.99,overcast clouds
247,Atar,MR,20.5169,-13.0499,98.22,28,37,11.68,scattered clouds
248,Aswan,EG,24.0934,32.907,90.75,24,10,11.59,clear sky
249,Sankheda,IN,22.1667,73.5833,77.88,93,100,5.28,overcast clouds
250,Katangli,RU,51.7102,143.2326,64.58,91,100,14.74,overcast clouds
251,Cabedelo,BR,-6.9811,-34.8339,74.07,82,6,13.69,clear sky
252,Xuddur,SO,4.1213,43.8894,69.3,78,97,20.51,overcast clouds
253,Chipinge,ZW,-20.1883,32.6236,58.87,18,0,4.27,clear sky
254,Albanel,CA,48.8832,-72.4487,55.38,91,100,10.4,overcast clouds
255,Catamarca,AR,-28.4696,-65.7852,49.77,75,12,4.07,few clouds
256,Tessalit,ML,20.1986,1.0114,95.04,32,82,16.78,broken clouds
257,Ayakudi,IN,10.45,77.55,74.82,70,97,7.2,overcast clouds
258,Sao Borja,BR,-28.6606,-56.0044,55.94,88,100,11.25,overcast clouds
259,Ixtapa,MX,20.7,-105.2,87.22,79,40,11.5,scattered clouds
260,Ndola,ZM,-12.9587,28.6366,55.67,47,2,5.41,clear sky
261,Vilhena,BR,-12.7406,-60.1458,70.52,86,90,2.04,overcast clouds
262,Saldanha,ZA,-33.0117,17.9442,48.25,84,66,8.03,broken clouds
263,Dauphin,CA,51.1494,-100.0502,81.82,55,0,6.15,clear sky
264,Kefar Shemaryahu,IL,32.1856,34.8219,78.78,80,0,1.99,clear sky
265,Husavik,IS,66.0449,-17.3389,54.91,72,98,20.36,overcast clouds
266,San Patricio,US,28.017,-97.5169,92.12,54,22,17.78,few clouds
267,Kahului,US,20.8947,-156.47,89.62,60,20,18.41,few clouds
268,Muros,ES,42.7762,-9.0603,68.68,91,1,3.56,clear sky
269,Pedernales,DO,18.0384,-71.744,85.23,69,86,12.24,overcast clouds
270,Usta Muhammad,PK,28.1794,68.0445,90.79,65,83,4.38,broken clouds
271,Smithers,CA,54.7804,-127.1743,75.81,28,4,2.93,clear sky
272,Ponta Do Sol,PT,32.6667,-17.1,72.01,72,2,5.7,clear sky
273,Mayo,US,38.8876,-76.5119,87.91,88,80,1.01,broken clouds
274,Norman Wells,CA,65.282,-126.8329,71.64,40,20,8.05,few clouds
275,Mitsamiouli,KM,-11.3847,43.2844,74.64,67,12,5.35,few clouds
276,Russellville,US,35.2784,-93.1338,82.54,69,0,3.44,clear sky
277,Salinopolis,BR,-0.6136,-47.3561,79.72,82,46,11.68,scattered clouds
278,Martapura,ID,-3.4167,114.85,77.09,88,40,0.0,scattered clouds
279,Yulara,AU,-25.2406,130.9889,59.02,23,79,13.62,broken clouds
280,Chegdomyn,RU,51.1167,133.0167,56.43,83,98,9.35,overcast clouds
281,Torzhok,RU,57.0436,34.9622,52.29,87,91,0.89,overcast clouds
282,Cidreira,BR,-30.1811,-50.2056,59.29,85,100,12.44,overcast clouds
283,Anadyr,RU,64.75,177.4833,52.3,46,20,11.18,few clouds
284,Santa Maria,BR,-29.6842,-53.8069,54.84,87,100,10.74,overcast clouds
285,Chara,RU,56.9064,118.2631,50.83,76,100,6.38,overcast clouds
286,Semporna,MY,4.4818,118.6112,79.77,83,98,2.73,heavy intensity rain
287,Gewane,ET,10.1664,40.6453,81.07,57,97,8.03,overcast clouds
288,Tugdan,PH,12.3134,122.0853,81.3,77,93,4.03,overcast clouds
289,Olafsvik,IS,64.8945,-23.7142,52.05,95,81,10.31,broken clouds
290,Zhuhai,CN,22.2769,113.5678,82.85,83,40,14.97,scattered clouds
291,Vila Franca Do Campo,PT,37.7167,-25.4333,72.01,88,64,6.02,light rain
292,Ketchikan,US,55.3422,-131.6461,68.47,49,0,10.36,clear sky
