City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
649,Samana,DO,80.31,overcast clouds,19.2056,-69.3369,The Bannister - Hotel & Yacht Club
651,Porto Torres,IT,73.58,few clouds,40.835,8.3972,Hotel Elisa
652,Dafeng,CN,81.45,few clouds,23.4517,108.5881,Shenglong Hotel
656,Ranong,TH,78.73,overcast clouds,9.9658,98.6348,Numsai Khaosuay Resort Ranong
657,Fort Saint James,CA,77.04,clear sky,54.4333,-124.25,The View Hotel
658,Shahrud,IR,71.91,clear sky,36.4182,54.9763,Royal Hotel
659,Muttupet,IN,81.16,overcast clouds,10.4,79.4833,Hotel Star Residency
661,Hot Springs,US,76.19,light rain,34.5037,-93.0552,Embassy Suites by Hilton Hot Springs Hotel & Spa
667,Jamui,IN,79.9,scattered clouds,24.9167,86.2167,hotel sneha
668,Lixourion,GR,80.29,clear sky,38.2019,20.4314,Hotel Summery
669,Srikakulam,IN,76.5,overcast clouds,18.3,83.9,Micro Systems
673,Prince George,CA,77.25,clear sky,53.9166,-122.753,Canadas Best Value Inn Prince George
675,Kanigoro,ID,74.64,broken clouds,-8.13,112.219,Musafer Villa ( Villa Erlin )
678,Chapada Dos Guimaraes,BR,73.06,overcast clouds,-15.4606,-55.7497,Pousada Morro Dos Ventos
679,Guanare,VE,75.85,clear sky,9.0418,-69.7421,Nuevo Hotel Coromoto
680,Katherine,AU,77.32,few clouds,-14.4667,132.2667,Pine Tree Motel
681,Biak,ID,78.44,broken clouds,-0.9131,122.8766,Penginapan Kim
682,Catio,GW,76.59,light rain,11.2833,-15.25,Pausada Morabedja
683,Weihai,CN,74.52,heavy intensity rain,37.5017,122.1136,Beihai Travel Resort
686,Salinas,US,89.56,clear sky,36.6777,-121.6555,Laurel Inn & Conference Center
687,Maumere,ID,80.02,overcast clouds,-8.6199,122.2111,Sylvia Hotel
688,Beidao,CN,79.45,broken clouds,34.5686,105.8933,Shell Tianshui Maiji District Erma Road Walking Street Hotel
689,Chhatak,BD,81.3,overcast clouds,25.0333,91.6667,Hotel Sadi Internationl
690,Yinchuan,CN,73.49,broken clouds,38.4681,106.2731,JJ Inns - Yinchuan New Moon Square Branch
